asset_id,ward,suggested_name,osm_name,osm_name_ja,distance_m
RA-ATSU-1484,Atsuta-ku,江川線,江川線,江川線,44.4
RA-ATSU-1485,Atsuta-ku,江川線,江川線,江川線,43.9
RA-ATSU-1486,Atsuta-ku,江川線,江川線,江川線,43.2
RA-ATSU-1487,Atsuta-ku,江川線,江川線,江川線,43.2
RA-ATSU-1488,Atsuta-ku,江川線,江川線,江川線,50.5
RA-ATSU-1489,Atsuta-ku,江川線,江川線,江川線,57.1
RA-ATSU-1494,Atsuta-ku,江川線,江川線,江川線,53.7
RA-ATSU-1495,Atsuta-ku,江川線,江川線,江川線,47.5
RA-ATSU-1496,Atsuta-ku,江川線,江川線,江川線,40.7
RA-ATSU-1497,Atsuta-ku,江川線,江川線,江川線,40.1
RA-ATSU-1498,Atsuta-ku,江川線,江川線,江川線,40.1
RA-ATSU-1517,Atsuta-ku,国道1号,国道1号,国道1号,52.4
RA-ATSU-1520,Atsuta-ku,国道1号,国道1号,国道1号,50.8
RA-ATSU-1556,Atsuta-ku,国道154号,国道154号,国道154号,42.1
RA-ATSU-1630,Atsuta-ku,国道1号,国道1号,国道1号,49.7
RA-ATSU-1647,Atsuta-ku,国道154号,国道154号,国道154号,45.7
RA-ATSU-1650,Atsuta-ku,船方歩道橋,船方歩道橋,,34.1
RA-ATSU-1656,Atsuta-ku,国道154号,国道154号,国道154号,35.5
RA-ATSU-1657,Atsuta-ku,国道154号,国道154号,国道154号,36.0
RA-ATSU-1658,Atsuta-ku,国道154号,国道154号,国道154号,37.0
RA-ATSU-1659,Atsuta-ku,国道154号,国道154号,国道154号,37.2
RA-ATSU-1660,Atsuta-ku,国道154号,国道154号,国道154号,37.4
RA-ATSU-1663,Atsuta-ku,国道1号,国道1号,国道1号,59.5
RA-ATSU-1664,Atsuta-ku,国道1号,国道1号,国道1号,58.6
RA-ATSU-1665,Atsuta-ku,国道1号,国道1号,国道1号,50.4
RA-ATSU-1668,Atsuta-ku,国道154号,国道154号,国道154号,39.8
RA-ATSU-1671,Atsuta-ku,国道154号,国道154号,国道154号,43.3
RA-ATSU-1683,Atsuta-ku,堀川千年プロムナード,堀川千年プロムナード,,40.1
RA-ATSU-1687,Atsuta-ku,堀川千年プロムナード,堀川千年プロムナード,,40.1
