asset_id,ward,matched_name,distance_m,confidence
RA-MIZH-1212,Mizuho-ku,空港線,31.3,low
RA-NKMR-1851,Nakamura-ku,駅裏南北線,31.3,low
RA-MIDR-2317,Midori-ku,名古屋碧南線,31.3,low
RA-NKGW-16357,Nakagawa-ku,江川線,31.2,low
RA-NAKA-4652,Naka-ku,御園通,31.2,low
RA-MINA-8268,Minato-ku,名古屋環状2号線,31.2,low
RA-NKGW-1778,Nakagawa-ku,環状線,31.2,low
RA-NKGW-16930,Nakagawa-ku,環状線,31.2,low
RA-NKMR-8618,Nakamura-ku,県道名古屋一宮線,31.2,low
RA-NKGW-16356,Nakagawa-ku,江川線,31.2,low
RA-KITA-5652,Kita-ku,名古屋豊山稲沢線,31.2,low
RA-KITA-5793,Kita-ku,黒川1号橋,31.2,low
RA-KITA-6295,Kita-ku,黒川1号橋,31.2,low
RA-NKMR-10301,Nakamura-ku,下広井町線,31.2,low
RA-NKGW-7148,Nakagawa-ku,名古屋中環状線,31.2,low
RA-NKGW-11090,Nakagawa-ku,江川線,31.2,low
RA-NKMR-10032,Nakamura-ku,環状線,31.2,low
RA-MIDR-12459,Midori-ku,国道302号,31.2,low
RA-MORY-1576,Moriyama-ku,守山西線,31.2,low
RA-NKGW-7191,Nakagawa-ku,名古屋中環状線,31.2,low
RA-NKGW-1876,Nakagawa-ku,鳥ヶ地名古屋線,31.1,low
RA-NKGW-11805,Nakagawa-ku,国道302号,31.1,low
RA-NKGW-11806,Nakagawa-ku,国道302号,31.1,low
RA-NKGW-9463,Nakagawa-ku,名古屋中環状線,31.1,low
RA-NKGW-9462,Nakagawa-ku,名古屋中環状線,31.1,low
RA-NKGW-18236,Nakagawa-ku,名古屋第二環状自動車道,31.1,low
RA-TEMP-5110,Tempaku-ku,白山黒石線,31.1,low
RA-NAKA-1150,Naka-ku,大池大井町線,31.1,low
RA-MIDR-3795,Midori-ku,滝ノ水自転車歩行者道第１４号線,31.1,low
RA-NKGW-8625,Nakagawa-ku,名古屋環状2号線,31.1,low
RA-HIGA-1872,Higashi-ku,国道19号,31.1,low
RA-NKGW-17444,Nakagawa-ku,名古屋環状2号線,31.1,low
RA-NKMR-12995,Nakamura-ku,県道名古屋一宮線,31.1,low
RA-CHIK-4314,Chikusa-ku,平和公園線,31.1,low
RA-KITA-1574,Kita-ku,名古屋犬山線,31.0,low
RA-KITA-3159,Kita-ku,柳原通,31.0,low
RA-KITA-4043,Kita-ku,国道19号,31.0,low
RA-NISH-6827,Nishi-ku,名駅通,31.0,low
RA-MINA-3052,Minato-ku,名古屋環状2号線,31.0,low
RA-KITA-4589,Kita-ku,柳原通,31.0,low
RA-KITA-6648,Kita-ku,国道19号,31.0,low
RA-NAKA-4559,Naka-ku,大池大井町線,31.0,low
RA-NKMR-0926,Nakamura-ku,鳥ヶ地名古屋線,31.0,low
RA-NKGW-11927,Nakagawa-ku,名古屋中環状線,31.0,low
RA-MIDR-9960,Midori-ku,諸輪名古屋線,31.0,low
RA-TEMP-0585,Tempaku-ku,白山黒石線,31.0,low
RA-NKGW-6064,Nakagawa-ku,名古屋中環状線,31.0,low
RA-MIDR-9839,Midori-ku,名古屋高速3号大高線,31.0,low
RA-TEMP-0586,Tempaku-ku,白山黒石線,31.0,low
RA-NISH-0383,Nishi-ku,名古屋外環状線,31.0,low
RA-MIDR-10520,Midori-ku,名古屋高速3号大高線,31.0,low
RA-MIDR-6006,Midori-ku,名古屋高速3号大高線,31.0,low
RA-NKGW-8320,Nakagawa-ku,名古屋中環状線,31.0,low
RA-MIDR-11503,Midori-ku,諸輪名古屋線,31.0,low
RA-KITA-2006,Kita-ku,名古屋犬山線,31.0,low
RA-TEMP-3501,Tempaku-ku,名古屋中環状線,30.9,low
RA-MINA-2155,Minato-ku,名古屋高速4号東海線,30.9,low
RA-MNMI-0992,Minami-ku,環状線,30.9,low
RA-NKMR-10216,Nakamura-ku,椿町線,30.9,low
RA-NKMR-10331,Nakamura-ku,椿町線,30.9,low
RA-NKMR-6101,Nakamura-ku,椿町線,30.9,low
RA-ATSU-3409,Atsuta-ku,江川線,30.9,low
RA-TEMP-5786,Tempaku-ku,弥富相生山線,30.9,low
RA-MNMI-3409,Minami-ku,環状線,30.9,low
RA-KITA-3943,Kita-ku,国道41号,30.9,low
RA-TEMP-5628,Tempaku-ku,名古屋中環状線,30.9,low
RA-MIDR-2318,Midori-ku,名古屋碧南線,30.9,low
RA-KITA-0346,Kita-ku,名古屋豊山稲沢線,30.9,low
RA-NKGW-14294,Nakagawa-ku,西前田自転車歩行者道第２号線,30.9,low
RA-NKGW-6369,Nakagawa-ku,名古屋環状2号線,30.9,low
RA-NKGW-5342,Nakagawa-ku,鳥ヶ地名古屋線,30.9,low
RA-NISH-3877,Nishi-ku,鳥ヶ地名古屋線,30.9,low
RA-NKGW-11495,Nakagawa-ku,鳥ヶ地名古屋線,30.9,low
RA-NKGW-18494,Nakagawa-ku,名古屋環状2号線,30.9,low
RA-NKMR-6513,Nakamura-ku,県道名古屋一宮線,30.9,low
RA-TEMP-4161,Tempaku-ku,名古屋中環状線,30.8,low
RA-MINA-10077,Minato-ku,金城ふ頭線,30.8,low
RA-TEMP-5107,Tempaku-ku,白山黒石線,30.8,low
RA-MINA-6792,Minato-ku,名古屋環状2号線,30.8,low
RA-TEMP-6225,Tempaku-ku,名古屋中環状線,30.8,low
RA-MINA-8551,Minato-ku,名古屋環状2号線,30.8,low
RA-MIDR-9313,Midori-ku,名古屋中環状線,30.7,low
RA-NAKA-0372,Naka-ku,新天地通,30.7,low
RA-MIDR-3062,Midori-ku,白山黒石線,30.7,low
RA-MIDR-6690,Midori-ku,緑瑞穂線,30.7,low
RA-NKGW-4028,Nakagawa-ku,大須通り,30.7,low
RA-NAKA-1924,Naka-ku,中央線西通,30.7,low
RA-NKMR-5285,Nakamura-ku,鳥ヶ地名古屋線,30.7,low
RA-NAKA-4540,Naka-ku,大津通,30.7,low
RA-NAKA-3361,Naka-ku,中央線西通,30.7,low
RA-NKGW-16168,Nakagawa-ku,大須通り,30.7,low
RA-CHIK-4453,Chikusa-ku,関田名古屋線,30.7,low
RA-MIDR-4038,Midori-ku,名古屋中環状線,30.7,low
RA-NKMR-5978,Nakamura-ku,椿町線,30.7,low
RA-NKGW-12960,Nakagawa-ku,名古屋第二環状自動車道,30.7,low
RA-NKMR-11980,Nakamura-ku,鳥ヶ地名古屋線,30.7,low
RA-MIDR-0158,Midori-ku,滝ノ水自転車歩行者道第１６号線,30.6,low
RA-MIDR-6818,Midori-ku,滝ノ水自転車歩行者道第１６号線,30.6,low
RA-NKMR-3414,Nakamura-ku,環状線,30.6,low
RA-NKMR-2937,Nakamura-ku,名古屋競輪場無料送迎バス用停車場,30.6,low
RA-NKGW-14030,Nakagawa-ku,八田停車場線,30.6,low
RA-NKGW-9344,Nakagawa-ku,名古屋中環状線,30.6,low
RA-NKGW-9343,Nakagawa-ku,名古屋中環状線,30.6,low
RA-CHIK-4986,Chikusa-ku,飯田街道,30.6,low
RA-CHIK-0562,Chikusa-ku,千代保稲荷神社境内,30.6,low
RA-NISH-5240,Nishi-ku,名古屋外環状線,30.6,low
RA-NISH-5679,Nishi-ku,守山西線,30.6,low
RA-NKGW-11817,Nakagawa-ku,名古屋中環状線,30.6,low
RA-NKGW-7024,Nakagawa-ku,名古屋環状2号線,30.5,low
RA-MNMI-4793,Minami-ku,緑瑞穂線,30.5,low
